Latitud,Longitud
4.5786504,-74.086562,
4.5592849,-74.1208553,
4.5584485,-74.1190636,
4.5611504,-74.1186411,
4.5724471,-74.0990959,
4.5810314,-74.1069432,
4.5894462,-74.1116264,
4.5974205,-74.0894898,
4.6046684,-74.1009857,
4.6010187,-74.0996122,
4.6457583,-74.1171062,
4.599414,-74.1492843,
4.6119355,-74.207525,
4.9147444,-74.0291268,
4.7082774,-74.1311129,
4.7153071,-74.1289738,
4.7236599,-74.1357177,
4.7186359,-74.1261293,
4.709247,-74.119822,
4.6994448,-74.112788,
4.7041417,-74.1072844,
4.6909635,-74.1138794,
4.6813685,-74.1125603,
4.6805841,-74.1125722,
4.6757447,-74.1081396,
4.5828584,-74.1898781,
4.5905452,-74.2220752,
4.5804587,-74.2263511,
4.5944248,-74.1978762,
4.5878942,-74.2185058,
4.6131662,-74.2198356,
4.6056529,-74.2127852,
4.6162699,-74.1896259,
4.6869797,-74.031199,
4.6183892,-74.1276357,
4.6339831,-74.1256661,
4.7497312,-74.0644011,
4.744439,-74.0328008,
4.7342313,-74.0313149,
4.7273485,-74.0368954,
4.703361,-74.0316418,
4.7164119,-74.0426578,
4.6755647,-74.0627723,
4.6412738,-74.0749442,
4.6316575,-74.070641,
4.6492348,-74.075433,
4.6449168,-74.0848387,
4.6287871,-74.1783045,
4.6354838,-74.1734899,
4.6370314,-74.1515781,
4.6348379,-74.1489913,
4.6450084,-74.139416,
4.6444973,-74.1374037,
4.6479706,-74.1369964,
4.6531864,-74.1362822,
4.6388881,-74.1277351,
4.7289876,-74.1194195,
4.7190657,-74.1094902,
4.7026383,-74.0914844,
4.7031313,-74.0930055,
4.7038764,-74.0923467,
4.7186699,-74.0879731,
4.7082309,-74.0926153,
4.6702414,-74.1037404,
4.5713274,-74.0928467,
5.0250579,-74.0042422,
5.0341555,-73.9897291,
4.8536974,-74.0504604,
4.8626039,-74.0559882,
4.8672391,-74.0524597,
4.7455174,-74.0488305,
4.7477944,-74.0885112,
4.7224014,-74.0537317,
4.7141435,-74.0482344,
4.593274,-74.0929456,
4.6294497,-74.081962,
4.6797577,-74.0776814,
4.5559943,-74.1190049,
4.5909244,-74.137656,
4.5668743,-74.130958,
4.5564568,-74.144894,
4.5699982,-74.1508733,
4.6121118,-74.2188603,
4.5887053,-74.1632202,
4.5891024,-74.1663466,
4.5867746,-74.1551223,
4.6445919,-74.0815656,
4.5943768,-74.123385,
4.5949146,-74.1218113,
4.6092404,-74.1176911,
4.612256,-74.1096312,
4.7405774,-74.1267602,
4.7510517,-74.0999079,
4.7508883,-74.0994606,
4.7586113,-74.097866,
4.7588353,-74.0976645,
4.7561324,-74.0951198,
4.7504499,-74.0845588,
4.7522682,-74.0840426,
4.7394619,-74.0963555,
4.7519846,-74.0834116,
4.742429,-74.085925,
4.7362936,-74.0801534,
4.7009868,-74.0868209,
4.5209914,-74.092792,
4.6093448,-74.147922,
4.5592558,-74.0980955,
4.5624256,-74.0873006,
4.568273,-74.0903892,
4.5725204,-74.092859,
4.5690827,-74.0812959,
4.6038424,-74.0687446,
4.5766474,-74.0917907,
4.5781677,-74.0809685,
4.7453947,-74.0584183,
4.744285,-74.0666307,
4.744285,-74.0666307,
4.7386927,-74.0623132,
4.7347633,-74.0573678,
4.7353279,-74.0563596,
4.7322609,-74.0566526,
4.7297973,-74.0573563,
4.7277099,-74.0577809,
4.7257866,-74.0594502,
4.725052,-74.0716336,
4.7052931,-74.0688528,
4.7017844,-74.077214,
4.693922,-74.0633112,
4.6880641,-74.0756929,
4.6880641,-74.0756929,
4.5821023,-74.0780333,
4.723581,-74.2688587,
4.723581,-74.2688587,
4.6859925,-74.1430614,
4.6829569,-74.13191,
4.6684313,-74.1344332,
4.6666685,-74.1361123,
4.6652353,-74.1344791,
4.6638561,-74.1355342,
4.660923,-74.1301906,
4.661999,-74.1252682,
4.6713717,-74.1267992,
4.5639219,-74.1634745,
4.6609461,-74.1213235,
4.7413982,-74.1278633,
4.7578887,-74.1149114,
4.7441041,-74.0948572,
4.7124649,-74.0789252,
4.6922369,-74.079293,
4.6119569,-74.146304,
4.5760408,-74.0832412,
4.6154108,-74.1409691,
4.6187045,-74.1149156,
4.5931221,-74.101535,
4.6017896,-74.1064721,
4.6430586,-74.1608539,
4.5749527,-74.1161363,
4.6343056,-74.1960836,
4.6414418,-74.1477713,
4.6375101,-74.1375911,
4.642392,-74.1284462,
4.6021476,-74.1372202,
4.5838236,-74.1607749,
4.5735868,-74.1571731,
4.5853086,-74.1548972,
4.5867746,-74.1551223,
4.5897886,-74.1395056,
4.6445919,-74.0815656,
4.6042076,-74.1276319,
4.6195215,-74.1239289,
4.5664926,-74.0712846,
4.681054,-74.1545221,
4.6713717,-74.1267992,
4.6401321,-74.1590508,
4.6626833,-74.1256591,
4.6576315,-74.1098607,
5.0224734,-74.0029878,
4.8827091,-74.0324233,
4.866423,-74.048717,
4.7645882,-74.0339253,
4.756374,-74.0377925,
4.7427301,-74.0429821,
4.7158619,-74.0544294,
4.6689224,-74.071285,
4.6095133,-74.1685402,
4.609486,-74.1499462,
4.6148972,-74.1484334,
4.6275489,-74.1475118,
4.6294708,-74.1525504,
4.87402,-74.05141,
4.6707809,-74.0780245,
4.5760408,-74.0832412,
4.6998371,-74.0326975,
4.520339,-74.1192275,
4.5701539,-74.1467474,
4.5784708,-74.1537134,
4.694395,-74.1023665,
4.5878522,-74.1821922,
4.60409,-74.2136,
4.604271,-74.1790039,
4.642108,-74.1722701,
4.63642,-74.153138,
4.6616738,-74.1169534,
4.7490862,-74.1105559,
4.7464207,-74.1095204,
4.7087927,-74.0919691,
4.7116036,-74.0969527,
